,Unnamed: 0,date,text,GPE,gpe,country,score
10534,10534,2020-02-20 00:13:02,President @realDonaldTrump is departing Bakersfield California for Phoenix Arizona — now!,,Phoenix,United States,0.0
3350,3350,2015-12-15 15:47:29,I am in Trump International Hotel Las Vegas getting ready and waiting for the debate tonight.,,Las Vegas,United States,0.3612
3901,3901,2016-05-02 14:27:51,I will be campaigning in Indiana all day.,,Indiana,United States,0.0
3623,3623,2016-02-26 16:07:56,Will be at Fort Worth (Texas) Convention Center at 11:30 A.M. Big crowd - get there early!,,A.M.,United States,0.2942
7613,7613,2019-02-24 12:58:20,Very productive talks yesterday with China on Trade.,,China,China,0.0
4597,4597,2016-11-30 15:23:43,Join me in Cincinnati Ohio tomorrow evening at 7:00pm.,,Cincinnati,United States,0.29600000000000004
5392,5392,2017-11-10 10:26:22,The United States is prepared to work with each of the leaders in this room today to achieve mutually beneficial commerce that is in the interests of both your countries and mine.,,The United States,United States,0.8225
5166,5166,2017-08-31 20:06:35,THANK YOU to all of the incredible HEROES in Texas.,,Texas,United States,0.8056
8902,8902,2019-08-18 19:24:09,Import prices down China eating Tariffs.,,China,China,0.0
5328,5328,2017-10-24 14:20:46,People like liddle' Bob Corker have set the U.S. way back.,,U.S.,United States,0.3612
1768,1768,2013-09-12 10:26:24,Putin's letter is a masterpiece for Russia and a disaster for the U.S.,,Russia,Russia,0.0
3474,3474,2016-01-25 19:51:25,Find out where to #VoteTrump on caucus night in Iowa on 2/1/16!#IACaucus #FITN #Trump2016 https://t.co/xd9iG0uh4l https://t.co/ocIpo2DInT,,Iowa,United States,0.0
2525,2525,2014-10-21 23:34:34,The U.S. accidentally air dropped a large shipment of military weapons and supplies right into the middle of ISIS as enemy laughs!,,U.S.,United States,-0.7088
8972,8972,2019-08-24 00:50:50,RT @TreasurySpox: U.S. Treasury Designates China as a Currency Manipulator: https://t.co/7OnySGjzH1,,China,China,0.2023
5389,5389,2017-11-10 01:17:15,@FLOTUS Melania is staying behind to see the zoo and of course the Great WALL of China before going to Alaska to greet our AMAZING troops.,,Alaska,United States,0.8986
8918,8918,2019-08-20 23:51:53,....The Prime Minister was able to save a great deal of expense and effort for both the United States and Denmark by being so direct.,,Denmark,Denmark,0.8779
7291,7291,2018-12-04 14:55:35,China is supposed to start buying Agricultural product and more immediately.,,China,China,0.0
6985,6985,2018-10-29 14:57:42,Great job being done by Congressman Keith Rothfus of Pennsylvania.,,Pennsylvania,United States,0.6249
9942,9942,2019-12-07 18:54:36,Hard to believe but if Nancy Pelosi had put our great Trade Deal with Mexico and Canada USMCA up for a vote long ago our economy would be even better.,,Mexico,Mexico,0.8834
6407,6407,2018-07-25 00:08:01,Both the U.S. and the E.U.,,E.U.,None,0.0
205,205,2011-11-08 20:54:26,Washington does not have a revenue problem.,,Washington,United States,0.3089
7487,7487,2019-01-23 18:47:53,Today I have officially recognized the President of the Venezuelan National Assembly Juan Guaido as the Interim President of Venezuela.,,Venezuela,Venezuela,0.0
8262,8262,2019-06-03 10:07:11,China is subsidizing its product in order that it can continue to be sold in the USA.,,USA,United States,0.0
4858,4858,2017-04-22 15:18:49,RT @foxandfriends: Israeli PM Netanyahu praises U.S. policy changes during meeting with Defense.,,U.S.,United States,0.5994
1849,1849,2013-10-29 16:06:03,Communities all over Scotland are fighting this loser.,,Scotland,United Kingdom,-0.7579
5076,5076,2017-08-07 11:04:19,...and West Virginia.,,West Virginia,United States,0.0
1719,1719,2013-09-05 11:13:51,The only reason President Obama wants to attack Syria is to save face over his very dumb RED LINE statement.,,Syria,Syria,-0.5413
